date,Asset_A_Return,Asset_B_Return,Asset_C_Return,Asset_D_Return,Volume_A,Volume_B,Volume_C,Volume_D,Asset_A_cumulative_return,Asset_B_cumulative_return,Asset_C_cumulative_return,Asset_D_cumulative_return
2024-01-01,0.0,0.0,0.0,0.0,5003250,3218030,1973534,4544033,0.0,0.0,0.0,0.0
2024-01-02,-0.0027,-0.0034,0.0088,0.0059,5156416,2871426,1892910,4096494,-0.0027000000000000357,-0.0033999999999999586,0.008799999999999919,0.005900000000000016
2024-01-03,-0.0053,0.0002,-0.0053,-0.0065,4944134,3107100,2047323,3985434,-0.007985690000000045,-0.0032006799999999558,0.003453359999999961,-0.0006383499999998987
2024-01-04,0.0028,-0.011,-0.0131,-0.0095,4788301,2772772,1955348,4171279,-0.005208049932000081,-0.01416547252,-0.009691879015999993,-0.010132285674999908
2024-01-05,-0.0116,-0.0055,-0.0121,-0.0184,5053523,2813139,2017318,4077063,-0.01674763655278888,-0.019587562421139904,-0.021674607279906444,-0.02834585161857983
2024-01-06,0.0167,0.0096,0.0095,0.0012,4779035,3023058,2005820,3771405,-0.0003273220832205048,-0.010175603020382784,-0.012380516049065537,-0.027179866640522077
2024-01-07,-0.0062,-0.0034,-0.0111,-0.0035,5089446,3084117,2108305,4210760,-0.006525292686304529,-0.013541005970113429,-0.02334309232092091,-0.030584737107280158
2024-01-08,-0.0067,-0.0065,-0.0084,0.0062,4655582,2859326,2051503,4102757,-0.013181573225306331,-0.019952989431307633,-0.031547010345425175,-0.024574362477345346
2024-01-09,-0.0002,-0.0071,0.0039,-0.0094,5128761,3577909,2057089,4227113,-0.013378936910661277,-0.026911323206345372,-0.027770043685772294,-0.03374336347005824
2024-01-10,0.0024,-0.0115,-0.0107,-0.0039,5238500,3097708,1968473,4151793,-0.011011046359246879,-0.03810184298947239,-0.038172904218334525,-0.03751176435252501
2024-01-11,0.0083,0.0069,0.0042,0.0038,4806793,2964477,1951463,4016374,-0.002802438044028688,-0.031464745706099806,-0.03413323041605154,-0.03385430905706455
2024-01-12,-0.0167,-0.0161,-0.0137,-0.0067,5578664,2719910,2068626,3677456,-0.019455637328693487,-0.047058163300231604,-0.04736560515935173,-0.040327485186382295
2024-01-13,0.004,-0.009,0.0016,-0.0033,4882017,3163342,2006428,3784451,-0.015533459878008249,-0.05563463983052952,-0.045841390127606685,-0.0434944044852672
2024-01-14,-0.0077,-0.0011,0.0036,0.0044,4821174,3101939,1926963,4043291,-0.02311385223694762,-0.056673441726715956,-0.042406419132066,-0.03928577986500237
2024-01-15,-0.0095,-0.0085,-0.0036,0.0001,5011392,2902259,2214394,4126783,-0.032394270640696554,-0.06469171747203883,-0.04585375602319064,-0.03918970844298886
2024-01-16,-0.0054,-0.0047,-0.0108,-0.0144,4493714,3027968,1933821,4170486,-0.03761934157923674,-0.06908766639992026,-0.0561585354581402,-0.05302537664140983
2024-01-17,0.0091,0.015,0.0069,0.0161,4801869,2982789,2050498,4173151,-0.028861677587607715,-0.05512398139591912,-0.04964602935280149,-0.03777908520533657
2024-01-18,0.0041,-0.0015,0.0038,0.0125,4699925,2949824,1952505,3869334,-0.024880010465716862,-0.056541295423825244,-0.046034684264342096,-0.025751323770403345
2024-01-19,-0.0004,0.0102,-0.0154,0.004,5441363,3060747,1873911,4183572,-0.02527005846153052,-0.04691801663714823,-0.06072575012667125,-0.0218543290654849
2024-01-20,0.001,-0.0015,0.0007,-0.0134,5530539,3154869,1848063,3903153,-0.024295328519992165,-0.04834763961219246,-0.06006825815175998,-0.03496148105600738
2024-01-21,-0.0025,0.0008,0.0091,-0.0016,5316727,2893849,2044381,4154926,-0.026734590198692176,-0.04758631772388233,-0.0515148793009409,-0.03650554268631778
2024-01-22,-0.0092,-0.0094,0.0002,-0.0035,4768267,2991071,1675873,3795122,-0.03568863196886418,-0.05653900633727782,-0.05132518227680105,-0.03987777328691566
2024-01-23,-0.0059,-0.0006,-0.0019,0.0039,4936857,2812832,2163241,3713971,-0.04137806904024788,-0.05710508293347549,-0.05312766443047512,-0.036133296602734566
2024-01-24,-0.008,-0.0074,-0.0077,-0.0169,4889988,3019611,2144127,3712827,-0.04904704448792585,-0.06408250531976778,-0.06041858141436052,-0.05242264389014839
2024-01-25,0.0034,0.0038,0.0023,0.0013,5290790,3001534,1901849,4092420,-0.0458138044391847,-0.060526018839982876,-0.05825754415161355,-0.05119079332720555
2024-01-26,-0.016,-0.0134,-0.0121,-0.018,5049764,2909967,2006980,3922937,-0.061080783568157715,-0.0731149701875271,-0.06965262786737902,-0.0682693590473159
2024-01-27,-0.0018,0.0015,0.0124,0.0044,5028379,3099319,2158601,3752436,-0.0627708381577351,-0.07172464264280831,-0.05811632045293458,-0.06416974422712418
2024-01-28,0.0029,0.0015,-0.0115,-0.002,5533258,2707186,1984821,4117663,-0.06005287358839262,-0.07033222960677243,-0.06894798276772574,-0.06604140473866993
2024-01-29,0.0007,0.0168,0.003,0.0078,5070247,2906595,1979187,3901399,-0.05939491059990454,-0.054713811064166284,-0.06615482671602901,-0.058756527695631555
2024-01-30,-0.0004,-0.008,0.0056,0.0044,4852658,3127440,2035701,3861418,-0.05977115263566457,-0.062276100575652915,-0.06092529374563871,-0.054615056417492425
2024-01-31,0.009,0.0,0.0131,-0.0029,5224899,3046094,2081286,4125925,-0.05130909300938569,-0.062276100575652915,-0.04862341509370649,-0.05735667275388168
2024-02-01,0.0066,0.019,0.0005,0.0038,4792751,2915972,2074729,4122074,-0.045047733023247716,-0.044459346486590445,-0.04814772680125334,-0.05377462811034639
2024-02-02,0.0012,-0.0025,-0.0106,-0.0028,4994774,3017599,2127766,3881685,-0.043901790302875554,-0.046848198120373885,-0.05823736089716014,-0.056424059151637396
2024-02-03,-0.0121,-0.005,-0.0123,0.0017,5136774,2969671,1978231,4219755,-0.055470578640210766,-0.051613957129772015,-0.06982104135812506,-0.05481998005219513
2024-02-04,-0.0088,-0.008,0.0,-0.0136,5206354,3122026,2130547,4004200,-0.06378243754817692,-0.05920104547273386,-0.06982104135812506,-0.06767442832348525
2024-02-05,0.0026,0.0104,-0.0073,0.0029,5170488,2953459,2032416,3973971,-0.061348271885802275,-0.04941673634565036,-0.0766113477562107,-0.06497068416562346
2024-02-06,0.0029,0.0072,-0.0055,-0.0076,5024248,3089273,1918177,4418477,-0.058626181874271155,-0.04257253684733897,-0.08168998534355154,-0.0720769069659648
2024-02-07,0.0059,0.0061,0.0055,0.0075,4748495,2817871,2115811,4158332,-0.053072076347329356,-0.036732229322107735,-0.07663928026294098,-0.06511748376820947
2024-02-08,-0.0077,-0.0037,-0.002,-0.0091,5156029,3094251,1998775,3820549,-0.06036342135945494,-0.04029632007361594,-0.07848600170241515,-0.0736249146659188
2024-02-09,0.0212,0.0173,0.0047,0.0178,5018951,2898425,2097511,3970588,-0.04044312589227528,-0.02369344641088944,-0.07415488591041652,-0.057135438146972084
2024-02-10,-0.011,-0.002,0.0028,-0.0091,4793625,2951792,2041293,3887255,-0.05099825150746029,-0.025646059518067643,-0.07156251959096582,-0.06571550565983464
2024-02-11,0.011,0.0101,0.0124,0.0229,4794444,3036553,2024496,3898611,-0.040559232274042456,-0.01580508471920017,-0.06004989483389378,-0.04432039073944494
2024-02-12,-0.0028,-0.0069,-0.0087,-0.0109,4882240,3034807,1855191,3718507,-0.04324566642367511,-0.022596029634637693,-0.0682274607488389,-0.054737298480385
2024-02-13,-0.0008,0.0016,0.0019,0.0063,4820388,2967982,2031090,4295071,-0.04401106989053616,-0.02103218328205303,-0.06645709292426172,-0.048782143460811445
